# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
  44800      8.52e-01    7.19e-01      1.44e-02    1.25e-02      3.29e-02    2.78e-02    6.6e-04
  45000      8.12e-01    9.06e-01      2.92e-02    2.95e-02      3.15e-02    3.54e-02    6.3e-04
  45200      1.26e+00    1.48e+00      2.54e-02    2.48e-02      4.99e-02    5.86e-02    6.3e-04
  45400      1.26e+00    1.25e+00      3.66e-02    3.61e-02      4.95e-02    4.89e-02    6.3e-04
  45600      8.91e-01    1.17e+00      3.15e-02    3.22e-02      3.46e-02    4.60e-02    6.3e-04
  45800      4.60e-01    9.71e-01      7.53e-03    8.00e-03      1.82e-02    3.86e-02    6.3e-04
  46000      1.21e+00    1.16e+00      2.40e-02    2.50e-02      4.76e-02    4.60e-02    6.3e-04
  46200      9.02e-01    9.14e-01      5.68e-04    4.75e-04      3.59e-02    3.64e-02    6.3e-04
  46400      1.06e+00    8.66e-01      3.83e-02    3.71e-02      4.11e-02    3.33e-02    6.3e-04
  46600      1.22e+00    8.48e-01      5.00e-03    5.10e-03      4.85e-02    3.37e-02    6.3e-04
  46800      1.02e+00    9.65e-01      1.60e-02    1.63e-02      4.05e-02    3.82e-02    6.3e-04
  47000      9.54e-01    9.52e-01      1.95e-02    2.06e-02      3.77e-02    3.76e-02    6.3e-04
  47200      7.13e-01    7.28e-01      2.05e-02    2.24e-02      2.80e-02    2.85e-02    6.3e-04
  47400      1.20e+00    8.64e-01      1.07e-02    9.87e-03      4.78e-02    3.43e-02    6.3e-04
  47600      1.44e+00    1.09e+00      2.86e-02    2.94e-02      5.68e-02    4.27e-02    6.3e-04
  47800      7.46e-01    1.05e+00      1.55e-03    4.23e-03      2.97e-02    4.19e-02    6.3e-04
  48000      9.47e-01    9.10e-01      1.30e-02    1.09e-02      3.76e-02    3.61e-02    6.3e-04
  48200      9.38e-01    9.00e-01      4.11e-02    4.39e-02      3.60e-02    3.42e-02    6.3e-04
  48400      1.01e+00    1.15e+00      4.10e-02    3.94e-02      3.91e-02    4.48e-02    6.3e-04
  48600      8.00e-01    9.97e-01      2.35e-02    2.47e-02      3.13e-02    3.92e-02    6.3e-04
  48800      1.29e+00    8.65e-01      1.93e-02    1.35e-02      5.12e-02    3.43e-02    6.3e-04
  49000      1.12e+00    5.03e-01      6.24e-03    3.48e-03      4.47e-02    2.00e-02    6.3e-04
  49200      2.18e+00    1.57e+00      2.81e-02    2.95e-02      8.66e-02    6.22e-02    6.3e-04
  49400      9.52e-01    1.16e+00      1.26e-02    1.32e-02      3.78e-02    4.60e-02    6.3e-04
  49600      7.09e-01    9.13e-01      1.97e-02    2.02e-02      2.78e-02    3.60e-02    6.3e-04
  49800      7.45e-01    1.05e+00      1.88e-02    1.68e-02      2.93e-02    4.17e-02    6.3e-04
  50000      9.36e-01    1.11e+00      8.16e-03    5.28e-03      3.82e-02    4.55e-02    6.0e-04
  50200      9.36e-01    9.24e-01      1.31e-03    1.66e-03      3.82e-02    3.77e-02    6.0e-04
  50400      8.76e-01    9.23e-01      7.18e-03    5.43e-03      3.57e-02    3.77e-02    6.0e-04
  50600      2.60e+00    2.14e+00      2.67e-02    4.63e-02      1.06e-01    8.64e-02    6.0e-04
  50800      8.98e-01    9.03e-01      7.88e-03    8.97e-03      3.66e-02    3.68e-02    6.0e-04
  51000      9.45e-01    1.09e+00      1.92e-02    1.89e-02      3.83e-02    4.43e-02    6.0e-04
